뉴스 제목,뉴스 링크
스위스 서부 산악지역서 관광용 비행기 추락…3명 사망,https://www.yna.co.kr/view/AKR20230521001300109?input=1195m
"천지여성의용소방대, 봄철 산악사고 예방 '등산목 안전지킴이' 운영",http://www.headlinejeju.co.kr/news/articleView.html?idxno=515455
서삼석 “산악 사고로부터 국민안전 확보”,http://www.jndn.com/article.php?aid=1684141395360833114
"광주 서부소방서, 산악 안전사고 예방 캠페인 실시",https://view.asiae.co.kr/article/2023051511401676810
기고 봄철 산악사고 예방 '백신' 알고 가세요,http://www.mediajeju.com/news/articleView.html?idxno=344607
"고창소방서-119구조대, 산악사고 대비 인명구조훈련",http://www.joongdo.co.kr/web/view.php?key=20230519010005755
"양평소방서, 봄철 산악사고 대비 ‘산악안전지킴이’ 운영",http://www.ifm.kr/news/361344
어린시절 불행하면 평생 불행?…산악 고릴라는 달랐다,https://www.nongmin.com/article/20230518500418
봄기운 즐기려다 실족 추락...봄철 산악사고 주의보,https://www.ytn.co.kr/_ln/0115_202305140210066190
"거창소방서, 봄철 산악사고 대비 인명구조 훈련",http://fpn119.co.kr/197870
봄기운 즐기려다 실족 추락...봄철 산악사고 주의보,https://www.ytn.co.kr/_ln/0115_202305140210066190
"거창소방서, 봄철 산악사고 대비 인명구조 훈련",http://fpn119.co.kr/197870
봄기운 즐기려다 실족 추락...봄철 산악사고 주의보,https://science.ytn.co.kr/program/view.php?mcd=0082&hcd=&key=202305151155079933
"광주 서부소방, 봄철 산악 안전사고 캠페인",http://www.namdonews.com/news/articleView.html?idxno=724648
"포항북부소방서 119구조대, 산악사고 대비 구조훈련 실시",https://www.news1.kr/articles/5043417
"강화소방서, 항공대와 합동 산악 인명구조훈련",http://fpn119.co.kr/197878
"남동소방서, 만수산 봄철 산악사고 인명구조 훈련",http://fpn119.co.kr/197790
"도봉소방서, 봄철 산악사고 주의하세요",http://fpn119.co.kr/197727
봄기운 즐기려다 삐끗... 산악사고 주의보,https://www.ccdailynews.com/news/articleView.html?idxno=2204486
안양지역 3년간 산악사고 280여 건…주요 등산로 안전산행 지도 등 강화,http://www.kihoilbo.co.kr/news/articleView.html?idxno=1031007
