뉴스 제목,뉴스 링크
세계 최강용병 출신 산악인 두 다리 잃고 에베레스트 ‘의족 점령’,https://www.hani.co.kr/arti/international/international_general/1092729.html
진천소방서 산악구조훈련,http://www.newsis.com/view/?id=NISI20230522_0001271733
스위스 서부 산악지역서 관광용 비행기 추락…3명 사망,https://www.yna.co.kr/view/AKR20230521001300109?input=1195m
"계룡소방, 봄철 산악 안전사고 예방 캠페인",http://www.chungnamilbo.co.kr/news/articleView.html?idxno=717023
산불 진화용 대형 헬기…행락철 산악 인명 구조 효자 노릇 톡톡,http://www.kwnews.co.kr/page/view/2023052216455760185
"천지여성의용소방대, 봄철 산악사고 예방 '등산목 안전지킴이' 운영",http://www.headlinejeju.co.kr/news/articleView.html?idxno=515455
서삼석 “산악 사고로부터 국민안전 확보”,http://www.jndn.com/article.php?aid=1684141395360833114
"광주 서부소방서, 산악 안전사고 예방 캠페인 실시",https://view.asiae.co.kr/article/2023051511401676810
기고 봄철 산악사고 예방 '백신' 알고 가세요,http://www.mediajeju.com/news/articleView.html?idxno=344607
"고창소방서-119구조대, 산악사고 대비 인명구조훈련",http://www.joongdo.co.kr/web/view.php?key=20230519010005755
"화창한 날씨 충북서 산악사고 잇따라…""안전수칙 준수""",https://www.yna.co.kr/view/AKR20230512137500064?input=1195m
"양평소방서, 봄철 산악사고 대비 ‘산악안전지킴이’ 운영",http://www.ifm.kr/news/361344
원주서 사설 구급차 등 3중 추돌사고로 40대 환자 심정지,http://www.kwnews.co.kr/page/view/2023051617094376050
봄기운 즐기려다 실족 추락...봄철 산악사고 주의보,https://www.ytn.co.kr/_ln/0115_202305140210066190
"거창소방서, 봄철 산악사고 대비 인명구조 훈련",http://fpn119.co.kr/197870
봄기운 즐기려다 실족 추락...봄철 산악사고 주의보,https://science.ytn.co.kr/program/view.php?mcd=0082&hcd=&key=202305151155079933
어린시절 불행하면 평생 불행?…산악 고릴라는 달랐다,https://www.nongmin.com/article/20230518500418
"광주 서부소방, 봄철 산악 안전사고 캠페인",http://www.namdonews.com/news/articleView.html?idxno=724648
"포항북부소방서 119구조대, 산악사고 대비 구조훈련 실시",https://www.news1.kr/articles/5043417
"강화소방서, 항공대와 합동 산악 인명구조훈련",http://fpn119.co.kr/197878
